0$Miguel García-Gómez
1$Shelby Riskin
2$Fabrice DeClerck
3$Fande Meng
4$Sandra Ferrada-Fuentes
5$Luca Regni
6$Mila Dunbar-Irwin
7$Jake M. Ferguson
8$Eugene J. Murphy
9$Silvia Villanueva
10$Frédéric Tovissodé
11$Anne V. Bossange
12$Hisatomo Taki
13$Helen J. Mayfield
14$Daniele Bianchi
15$Stephen K. Hamilton
16$Qinggang Wang
17$Justin M. J. Travis
18$Jens D. Berger
19$Frédéric Gosselin
20$Thomas Kaiser
21$Waroszewski Jaroslaw
22$Frédéric Marchand
23$Michael John Samways
24$Alexander Farnsworth
25$Chelsie L. Romulo
26$Dean E. Beyer, Jr
27$François Sockhom Mey
28$Liam D. Bailey
29$Birthe Thormann
30$Jean-François Delarras
31$Shahriar M. Wahid
32$Washington Leite Junger
33$Timothee Cezard
34$David S. Richardson
35$Solange Filoso
36$Ruth Ellerbrock
37$Tianyi Zhang
38$Linda H. Geiser
39$Steven J. Cooke
40$K. Grieger
41$Robert J. Fuller
42$Yuan Zheng
43$Ben Hur Marimon Junior
44$Fabio Pilla
45$Hirokazu Sato
46$Ricardo A. Correia
47$Rachel E. Crane
48$Mauricio A. Urbina
49$Lisa A. Bohannon
50$Desirée D. Tullos
51$Rui-Chang QUAN
52$Raymond D. Semlitsch
53$L. Belkadi
54$Shawn Domagal-Goldman
55$M Lelievre
56$Elena Cantarello
57$Peter A. Hambäck
58$Haylee D’Agui
59$Johan Borg
60$Patrice Jones
61$Filipe Dantas-Torres
62$Bruce E. Wilson
63$Caleb Melenya
64$Anne Loiseau
65$Kathryn Reardon-Smith
66$Juana M. Gonzalez-Mancebo
67$Chenglong Ye
68$David MJS Bowman
69$Gudasalamani Ravikanth
70$Neil E. Anderson
71$Martha V. T. Cely
72$B. Clot
73$Çağan H. Şekercioğlu
74$Eliana Martínez
75$Wilbert T. Kadye
76$Herman de Jong
77$Katherine Sinacore
78$Elvira de Eyto
79$G. Castillo
80$Nestor Arandia-Gorostidi
81$Frederic Beugnet
82$Samuel Mondy
83$Bing Wang
84$Jürgen Groeneveld
85$Adrien Marquet
86$Karen E. Selph
87$V. Muchenje
88$Bárbara F. Freire
89$Leandro Reverberi Tambosi
90$Veronique Theriault
91$Miroslava Loudová
92$Bradley C. Fedy
93$M P Hammer
94$C. Ozouf-Costaz
95$Iracilda Sampaio
96$Tomonori Kume
97$Belinda E. Medlyn
98$Andréa C. Araujo
99$Anthony J. Wilson
100$Ruidong Wu
101$Shuai Zhang
102$Paul D. Bates
103$Li Wan
104$Annette Lamley
105$John B. Morris
106$Michelle C. Passero
107$Bruno Oliva Gimenez
108$Bin Yang
109$P. Sunnucks
110$Jun‐Jun Liu
111$Miguel A. Mora
112$Saharnaz Nedjat
113$Kiyofumi Suzuki
114$Hayato Takeda
115$Ian D. Jones
116$Ming Liu
117$Jan C. Habel
118$Francesco Mugnai
119$Xiang-Min Fang
120$James D. Hale
121$Sheema A. Aziz
122$V.-M. Kerminen
123$James T. Morton
124$David Mizrahi
125$Zhibin Zhang
126$Sylvie Manguin
127$Joerg Brandner
128$Leandro Castello
129$Chang-Yuan Lee
130$Caroline Cambraia Furtado Campos
131$Kyran M. Staunton
132$Diego Montecino-Latorre
133$Javier Marco-Barba
134$Christine L. Madliger
135$Neo Martinez
136$Sven Günter
137$Fusuo Zhang
138$Xiaotao Zhang
139$John Wiens
140$John Patykowski
141$Antoine Souron
142$Thomas Galewski
143$Azucena Sánchez
144$Giuseppina Cinardi
145$Croy McCoy
146$Ze Ren
147$George P. Malanson
148$Evans M. Mwangi
149$Gerard A. Persoon
150$Alexandra H. Campbell
151$Luis Galván
152$José Manuel Reyes-González
153$Markus Lenz
154$Angela A Mulligan
155$Carl Percival
156$Nina Wertan
157$Denis A. Saunders
158$Divya Mohanty
159$Philippe Schmitt-Kopplin
160$Zhongyi Sun
161$Ihsan A. Al-Shehbaz
162$Anna C. Treydte
163$Arezoo Zamany
164$Li-fang Wang
165$Arnald Puy
166$Chun-Chi Chen
167$Branko Bakan
168$Kongming Wu
169$Pascal Fournier
170$Nicole M Ardoin
171$Wolfgang Schmidt
172$Jiankai Zhang
173$Amanda M. West
174$Rik I.L. Eggen
175$Michael Harold Depledge
176$M. A. Cant
177$Jesse D. Gourevitch
178$Siti Noor Shuhada
179$Mario Monroy
180$Wei Wei
181$Hugh P Possingham
182$Rolando Célleri
183$Ram C. Poudel
184$Charles T. Robbins
185$Pierre Lacroix
186$Patrick Halpin
187$Luis F. Aristizábal
188$Shyam S. Salim
189$Graziano Rossi
190$Sarah M Collins
191$Waled Amen Mohammed Ahmed
192$Antonio Tironi
193$Janne Flora
194$Benjamin Senauer
195$Xiaoyun Hou
196$Jan Stenlid
197$Lian Pin Koh
198$Lucinda L. Douglass
199$Xiaoting Xu
200$Daniel J. Pondella, II
201$Evelyne Bachère
202$Jocelyn Goon Ee Wern
203$Micheline Manseau
204$Bennie I. Osburn
205$Felipe S. F. Leite
206$Norbert P. Lamersdorf
207$Alba Farré
